word
weather
convoy
course
position
torpedo
attack
submarine
periscope
depth
radio
allied
merchant
ship
bearing
north
south
east
west
enemy
surface
dive
fuel
orders
patrol
contact
escort
destroyer
code
report
grid
quadrant
base
harbor
night
day
storm
visibility
wind
speed
angle
target
range
status
repair
engine
silence
urgent
repeat
crew
transmit
message
received
coordinates
route
intercept
departure
arrival
navigation
over
end
high
low
station
signal
observation
